	Team 1	Team 2	Home_team_score	Away_team_score
8746	Blackburn Rovers FC (	Tottenham Hotspur FC (	1	0
8747	Bolton Wanderers FC (	Everton FC (	2	0
8748	Charlton Athletic FC (	Leeds United FC (	0	1
8749	Portsmouth FC (	Leicester City FC (	0	2
8750	Wolverhampton Wanderers FC (	Newcastle United FC (	1	1
8751	Arsenal FC (	Fulham FC (	0	0
8752	Chelsea FC (	Manchester United FC (	1	0
8753	Liverpool FC (	Birmingham City FC (	3	1
8754	Manchester City FC (	Middlesbrough FC (	0	1
8755	Birmingham City FC (	Blackburn Rovers FC (	0	4
8756	Fulham FC (	Bolton Wanderers FC (	2	1
8757	Leeds United FC (	Chelsea FC (	1	1
8758	Leicester City FC (	Arsenal FC (	1	1
8759	Manchester United FC (	Aston Villa FC (	4	0
8760	Middlesbrough FC (	Portsmouth FC (	0	0
8761	Newcastle United FC (	Liverpool FC (	1	1
8762	Tottenham Hotspur FC (	Wolverhampton Wanderers FC (	5	2
8763	Everton FC (	Manchester City FC (	0	0
8764	Southampton FC (	Charlton Athletic FC (	3	2
8765	Chelsea FC (	Bolton Wanderers FC (	1	2
8766	Leicester City FC (	Birmingham City FC (	0	2
8767	Liverpool FC (	Southampton FC (	1	2
8768	Manchester United FC (	Manchester City FC (	3	1
8769	Middlesbrough FC (	Charlton Athletic FC (	0	0
8770	Newcastle United FC (	Tottenham Hotspur FC (	4	0
8771	Portsmouth FC (	Everton FC (	1	2
8772	Arsenal FC (	Blackburn Rovers FC (	1	0
8773	Aston Villa FC (	Wolverhampton Wanderers FC (	3	2
8774	Leeds United FC (	Fulham FC (	3	2
8775	Blackburn Rovers FC (	Aston Villa FC (	0	2
8776	Bolton Wanderers FC (	Arsenal FC (	1	1
8777	Charlton Athletic FC (	Newcastle United FC (	0	0
8778	Everton FC (	Leicester City FC (	3	2
8779	Fulham FC (	Chelsea FC (	0	1
8780	Southampton FC (	Portsmouth FC (	3	0
8781	Tottenham Hotspur FC (	Manchester United FC (	1	2
8782	Manchester City FC (	Leeds United FC (	1	1
8783	Arsenal FC (	Wolverhampton Wanderers FC (	3	0
8784	Birmingham City FC (	Manchester City FC (	2	1
8785	Blackburn Rovers FC (	Middlesbrough FC (	2	2
8786	Charlton Athletic FC (	Chelsea FC (	4	2
8787	Fulham FC (	Southampton FC (	2	0
8788	Leeds United FC (	Aston Villa FC (	0	0
8789	Leicester City FC (	Newcastle United FC (	1	1
8790	Liverpool FC (	Bolton Wanderers FC (	3	1
8791	Manchester United FC (	Everton FC (	3	2
8792	Portsmouth FC (	Tottenham Hotspur FC (	2	0
8793	Aston Villa FC (	Fulham FC (	3	0
8794	Bolton Wanderers FC (	Leicester City FC (	2	2
8795	Chelsea FC (	Portsmouth FC (	3	0
8796	Everton FC (	Birmingham City FC (	1	0
8797	Manchester City FC (	Liverpool FC (	2	2
8798	Middlesbrough FC (	Manchester United FC (	0	1
8799	Newcastle United FC (	Blackburn Rovers FC (	0	1
8800	Tottenham Hotspur FC (	Charlton Athletic FC (	0	1
8801	Wolverhampton Wanderers FC (	Leeds United FC (	3	1
8802	Southampton FC (	Arsenal FC (	0	1
8803	Aston Villa FC (	Portsmouth FC (	2	1
8804	Bolton Wanderers FC (	Manchester United FC (	1	2
8805	Chelsea FC (	Liverpool FC (	0	1
8806	Everton FC (	Arsenal FC (	1	1
8807	Manchester City FC (	Charlton Athletic FC (	1	1
8808	Middlesbrough FC (	Fulham FC (	2	1
8809	Newcastle United FC (	Leeds United FC (	1	0
8810	Southampton FC (	Leicester City FC (	0	0
8811	Tottenham Hotspur FC (	Birmingham City FC (	4	1
8812	Wolverhampton Wanderers FC (	Blackburn Rovers FC (	2	2
8813	Arsenal FC (	Middlesbrough FC (	4	1
8814	Birmingham City FC (	Southampton FC (	2	1
8815	Blackburn Rovers FC (	Bolton Wanderers FC (	3	4
8816	Charlton Athletic FC (	Wolverhampton Wanderers FC (	2	0
8817	Fulham FC (	Everton FC (	2	1
8818	Leeds United FC (	Tottenham Hotspur FC (	0	1
8819	Liverpool FC (	Aston Villa FC (	1	0
8820	Portsmouth FC (	Manchester City FC (	4	2
8821	Leicester City FC (	Chelsea FC (	0	4
8822	Manchester United FC (	Newcastle United FC (	0	0
8823	Bolton Wanderers FC (	Portsmouth FC (	1	0
8824	Everton FC (	Charlton Athletic FC (	0	1
8825	Manchester City FC (	Blackburn Rovers FC (	1	1
8826	Middlesbrough FC (	Leicester City FC (	3	3
8827	Southampton FC (	Leeds United FC (	2	1
8828	Tottenham Hotspur FC (	Liverpool FC (	2	1
8829	Wolverhampton Wanderers FC (	Manchester United FC (	1	0
8830	Aston Villa FC (	Arsenal FC (	0	2
8831	Chelsea FC (	Birmingham City FC (	0	0
8832	Newcastle United FC (	Fulham FC (	3	1
8833	Wolverhampton Wanderers FC (	Liverpool FC (	1	1
8834	Birmingham City FC (	Newcastle United FC (	1	1
8835	Charlton Athletic FC (	Bolton Wanderers FC (	1	2
8836	Fulham FC (	Tottenham Hotspur FC (	2	1
8837	Leeds United FC (	Middlesbrough FC (	0	3
8838	Leicester City FC (	Aston Villa FC (	0	5
8839	Liverpool FC (	Everton FC (	0	0
8840	Manchester United FC (	Southampton FC (	3	2
8841	Portsmouth FC (	Wolverhampton Wanderers FC (	0	0
8842	Arsenal FC (	Manchester City FC (	2	1
8843	Blackburn Rovers FC (	Chelsea FC (	2	3
8844	Aston Villa FC (	Leeds United FC (	2	0
8845	Bolton Wanderers FC (	Liverpool FC (	2	2
8846	Everton FC (	Manchester United FC (	3	4
8847	Middlesbrough FC (	Blackburn Rovers FC (	0	1
8848	Newcastle United FC (	Leicester City FC (	3	1
8849	Southampton FC (	Fulham FC (	0	0
8850	Tottenham Hotspur FC (	Portsmouth FC (	4	3
8851	Wolverhampton Wanderers FC (	Arsenal FC (	1	3
8852	Chelsea FC (	Charlton Athletic FC (	1	0
8853	Manchester City FC (	Birmingham City FC (	0	0
8854	Arsenal FC (	Southampton FC (	2	0
8855	Leeds United FC (	Wolverhampton Wanderers FC (	4	1
8856	Leicester City FC (	Bolton Wanderers FC (	1	1
8857	Birmingham City FC (	Everton FC (	3	0
8858	Blackburn Rovers FC (	Newcastle United FC (	1	1
8859	Charlton Athletic FC (	Tottenham Hotspur FC (	2	4
8860	Fulham FC (	Aston Villa FC (	1	2
8861	Liverpool FC (	Manchester City FC (	2	1
8862	Manchester United FC (	Middlesbrough FC (	2	3
8863	Portsmouth FC (	Chelsea FC (	0	2
8864	Bolton Wanderers FC (	Manchester City FC (	1	3
8865	Charlton Athletic FC (	Blackburn Rovers FC (	3	2
8866	Chelsea FC (	Arsenal FC (	1	2
8867	Manchester United FC (	Leeds United FC (	1	1
8868	Newcastle United FC (	Middlesbrough FC (	2	1
8869	Southampton FC (	Everton FC (	3	3
8870	Wolverhampton Wanderers FC (	Fulham FC (	2	1
8871	Aston Villa FC (	Birmingham City FC (	2	2
8872	Tottenham Hotspur FC (	Leicester City FC (	4	4
8873	Arsenal FC (	Charlton Athletic FC (	2	1
8874	Blackburn Rovers FC (	Southampton FC (	1	1
8875	Everton FC (	Aston Villa FC (	2	0
8876	Fulham FC (	Manchester United FC (	1	1
8877	Leicester City FC (	Wolverhampton Wanderers FC (	0	0
8878	Manchester City FC (	Chelsea FC (	0	1
8879	Leeds United FC (	Liverpool FC (	2	2
8880	Portsmouth FC (	Newcastle United FC (	1	1
8881	Birmingham City FC (	Middlesbrough FC (	3	1
8882	Birmingham City FC (	Bolton Wanderers FC (	2	0
8883	Middlesbrough FC (	Tottenham Hotspur FC (	1	0
8884	Birmingham City FC (	Leicester City FC (	0	1
8885	Blackburn Rovers FC (	Arsenal FC (	0	2
8886	Bolton Wanderers FC (	Chelsea FC (	0	2
8887	Charlton Athletic FC (	Middlesbrough FC (	1	0
8888	Everton FC (	Portsmouth FC (	1	0
8889	Fulham FC (	Leeds United FC (	2	0
8890	Manchester City FC (	Manchester United FC (	4	1
8891	Southampton FC (	Liverpool FC (	2	0
8892	Tottenham Hotspur FC (	Newcastle United FC (	1	0
8893	Wolverhampton Wanderers FC (	Aston Villa FC (	0	4
8894	Liverpool FC (	Portsmouth FC (	3	0
8895	Arsenal FC (	Bolton Wanderers FC (	2	1
8896	Aston Villa FC (	Blackburn Rovers FC (	0	2
8897	Chelsea FC (	Fulham FC (	2	1
8898	Leicester City FC (	Everton FC (	1	1
8899	Liverpool FC (	Wolverhampton Wanderers FC (	1	0
8900	Manchester United FC (	Tottenham Hotspur FC (	3	0
8901	Middlesbrough FC (	Birmingham City FC (	5	3
8902	Newcastle United FC (	Charlton Athletic FC (	3	1
8903	Portsmouth FC (	Southampton FC (	1	0
8904	Leeds United FC (	Manchester City FC (	2	1
8905	Birmingham City FC (	Leeds United FC (	4	1
8906	Blackburn Rovers FC (	Portsmouth FC (	1	2
8907	Charlton Athletic FC (	Aston Villa FC (	1	2
8908	Chelsea FC (	Wolverhampton Wanderers FC (	5	2
8909	Everton FC (	Middlesbrough FC (	1	1
8910	Manchester City FC (	Fulham FC (	0	0
8911	Southampton FC (	Tottenham Hotspur FC (	1	0
8912	Arsenal FC (	Manchester United FC (	1	1
8913	Bolton Wanderers FC (	Newcastle United FC (	1	0
8914	Leicester City FC (	Liverpool FC (	0	0
8915	Fulham FC (	Birmingham City FC (	0	0
8916	Middlesbrough FC (	Bolton Wanderers FC (	2	0
8917	Newcastle United FC (	Everton FC (	4	2
8918	Tottenham Hotspur FC (	Chelsea FC (	0	1
8919	Wolverhampton Wanderers FC (	Southampton FC (	1	4
8920	Aston Villa FC (	Manchester City FC (	1	1
8921	Liverpool FC (	Blackburn Rovers FC (	4	0
8922	Leeds United FC (	Leicester City FC (	3	2
8923	Arsenal FC (	Liverpool FC (	4	2
8924	Everton FC (	Tottenham Hotspur FC (	3	1
8925	Birmingham City FC (	Manchester United FC (	1	2
8926	Blackburn Rovers FC (	Leeds United FC (	1	2
8927	Bolton Wanderers FC (	Aston Villa FC (	2	2
8928	Charlton Athletic FC (	Portsmouth FC (	1	1
8929	Chelsea FC (	Middlesbrough FC (	0	0
8930	Leicester City FC (	Fulham FC (	0	2
8931	Manchester City FC (	Wolverhampton Wanderers FC (	3	3
8932	Newcastle United FC (	Arsenal FC (	0	0
8933	Aston Villa FC (	Chelsea FC (	3	2
8934	Fulham FC (	Blackburn Rovers FC (	3	4
8935	Liverpool FC (	Charlton Athletic FC (	0	1
8936	Middlesbrough FC (	Southampton FC (	3	1
8937	Portsmouth FC (	Birmingham City FC (	3	1
8938	Tottenham Hotspur FC (	Manchester City FC (	1	1
8939	Wolverhampton Wanderers FC (	Bolton Wanderers FC (	1	2
8940	Leeds United FC (	Everton FC (	1	1
8941	Manchester United FC (	Leicester City FC (	1	0
8942	Arsenal FC (	Leeds United FC (	5	0
8943	Blackburn Rovers FC (	Leicester City FC (	1	0
8944	Bolton Wanderers FC (	Tottenham Hotspur FC (	2	0
8945	Charlton Athletic FC (	Birmingham City FC (	1	1
8946	Chelsea FC (	Everton FC (	0	0
8947	Liverpool FC (	Fulham FC (	0	0
8948	Manchester City FC (	Southampton FC (	1	3
8949	Portsmouth FC (	Manchester United FC (	1	0
8950	Wolverhampton Wanderers FC (	Middlesbrough FC (	2	0
8951	Aston Villa FC (	Newcastle United FC (	0	0
8952	Manchester United FC (	Charlton Athletic FC (	2	0
8953	Everton FC (	Blackburn Rovers FC (	0	1
8954	Fulham FC (	Charlton Athletic FC (	2	0
8955	Leicester City FC (	Manchester City FC (	1	1
8956	Manchester United FC (	Liverpool FC (	0	1
8957	Middlesbrough FC (	Aston Villa FC (	1	2
8958	Southampton FC (	Bolton Wanderers FC (	1	2
8959	Birmingham City FC (	Wolverhampton Wanderers FC (	2	2
8960	Leeds United FC (	Portsmouth FC (	1	2
8961	Newcastle United FC (	Chelsea FC (	2	1
8962	Tottenham Hotspur FC (	Arsenal FC (	2	2
8963	Arsenal FC (	Birmingham City FC (	0	0
8964	Blackburn Rovers FC (	Manchester United FC (	1	0
8965	Charlton Athletic FC (	Leicester City FC (	2	2
8966	Chelsea FC (	Southampton FC (	4	0
8967	Manchester City FC (	Newcastle United FC (	1	0
8968	Portsmouth FC (	Fulham FC (	1	1
8969	Wolverhampton Wanderers FC (	Everton FC (	2	1
8970	Aston Villa FC (	Tottenham Hotspur FC (	1	0
8971	Bolton Wanderers FC (	Leeds United FC (	4	1
8972	Liverpool FC (	Middlesbrough FC (	2	0
8973	Portsmouth FC (	Arsenal FC (	1	1
8974	Birmingham City FC (	Liverpool FC (	0	3
8975	Everton FC (	Bolton Wanderers FC (	1	2
8976	Leeds United FC (	Charlton Athletic FC (	3	3
8977	Leicester City FC (	Portsmouth FC (	3	1
8978	Manchester United FC (	Chelsea FC (	1	1
8979	Middlesbrough FC (	Manchester City FC (	2	1
8980	Southampton FC (	Aston Villa FC (	1	1
8981	Tottenham Hotspur FC (	Blackburn Rovers FC (	1	0
8982	Fulham FC (	Arsenal FC (	0	1
8983	Newcastle United FC (	Wolverhampton Wanderers FC (	1	1
8984	Southampton FC (	Newcastle United FC (	3	3
8985	Arsenal FC (	Leicester City FC (	2	1
8986	Aston Villa FC (	Manchester United FC (	0	2
8987	Blackburn Rovers FC (	Birmingham City FC (	1	1
8988	Bolton Wanderers FC (	Fulham FC (	0	2
8989	Charlton Athletic FC (	Southampton FC (	2	1
8990	Chelsea FC (	Leeds United FC (	1	0
8991	Liverpool FC (	Newcastle United FC (	1	1
8992	Manchester City FC (	Everton FC (	5	1
8993	Portsmouth FC (	Middlesbrough FC (	5	1
8994	Wolverhampton Wanderers FC (	Tottenham Hotspur FC (	0	2
8995	Tea	Tea	F	T
8996	Aston Villa FC 	Southampton FC 	2	0
8997	Blackburn Rovers FC 	West Bromwich Albion FC 	1	1
8998	Bolton Wanderers FC 	Charlton Athletic FC 	4	1
8999	Manchester City FC 	Fulham FC 	1	1
9000	Middlesbrough FC 	Newcastle United FC 	2	2
9001	Norwich City FC 	Crystal Palace FC 	1	1
9002	Portsmouth FC 	Birmingham City FC 	1	1
9003	Tottenham Hotspur FC 	Liverpool FC 	1	1
9004	Chelsea FC 	Manchester United FC 	1	0
9005	Everton FC 	Arsenal FC 	1	4
9006	Birmingham City FC 	Chelsea FC 	0	1
9007	Charlton Athletic FC 	Portsmouth FC 	2	1
9008	Crystal Palace FC 	Everton FC 	1	3
9009	Fulham FC 	Bolton Wanderers FC 	2	0
9010	Liverpool FC 	Manchester City FC 	2	1
9011	Manchester United FC 	Norwich City FC 	2	1
9012	Newcastle United FC 	Tottenham Hotspur FC 	0	1
9013	Southampton FC 	Blackburn Rovers FC 	3	2
9014	Arsenal FC 	Middlesbrough FC 	5	3
9015	West Bromwich Albion FC 	Aston Villa FC 	1	1
9016	Birmingham City FC 	Manchester City FC 	1	0
9017	Crystal Palace FC 	Chelsea FC 	0	2
9018	Arsenal FC 	Blackburn Rovers FC 	3	0
9019	Charlton Athletic FC 	Aston Villa FC 	3	0
9020	Fulham FC 	Middlesbrough FC 	0	2
9021	Newcastle United FC 	Norwich City FC 	2	2
9022	Southampton FC 	Bolton Wanderers FC 	1	2
9023	West Bromwich Albion FC 	Tottenham Hotspur FC 	1	1
9024	Aston Villa FC 	Newcastle United FC 	4	2
9025	Blackburn Rovers FC 	Manchester United FC 	1	1
9026	Chelsea FC 	Southampton FC 	2	1
9027	Everton FC 	West Bromwich Albion FC 	2	1
9028	Manchester City FC 	Charlton Athletic FC 	4	0
9029	Middlesbrough FC 	Crystal Palace FC 	2	1
9030	Norwich City FC 	Arsenal FC 	1	4
9031	Tottenham Hotspur FC 	Birmingham City FC 	1	0
9032	Bolton Wanderers FC 	Liverpool FC 	1	0
9033	Manchester United FC 	Everton FC 	0	0
9034	Portsmouth FC 	Fulham FC 	4	3
9035	Aston Villa FC 	Chelsea FC 	0	0
9036	Bolton Wanderers FC 	Manchester United FC 	2	2
9037	Fulham FC 	Arsenal FC 	0	3
9038	Liverpool FC 	West Bromwich Albion FC 	3	0
9039	Manchester City FC 	Everton FC 	0	1
9040	Middlesbrough FC 	Birmingham City FC 	2	1
9041	Newcastle United FC 	Blackburn Rovers FC 	3	0
9042	Portsmouth FC 	Crystal Palace FC 	3	1
9043	Tottenham Hotspur FC 	Norwich City FC 	0	0
9044	Charlton Athletic FC 	Southampton FC 	0	0
9045	Arsenal FC 	Bolton Wanderers FC 	2	2
9046	Birmingham City FC 	Charlton Athletic FC 	1	1
9047	Blackburn Rovers FC 	Portsmouth FC 	1	0
9048	Crystal Palace FC 	Manchester City FC 	1	2
9049	Norwich City FC 	Aston Villa FC 	0	0
9050	West Bromwich Albion FC 	Fulham FC 	1	1
9051	Chelsea FC 	Tottenham Hotspur FC 	0	0
9052	Everton FC 	Middlesbrough FC 	1	0
9053	Southampton FC 	Newcastle United FC 	1	2
9054	Manchester United FC 	Liverpool FC 	2	1
9055	Aston Villa FC 	Crystal Palace FC 	1	1
9056	Bolton Wanderers FC 	Birmingham City FC 	1	1
9057	Fulham FC 	Southampton FC 	1	0
9058	Liverpool FC 	Norwich City FC 	3	0
9059	Manchester City FC 	Arsenal FC 	0	1
9060	Middlesbrough FC 	Chelsea FC 	0	1
9061	Newcastle United FC 	West Bromwich Albion FC 	3	1
9062	Tottenham Hotspur FC 	Manchester United FC 	0	1
9063	Portsmouth FC 	Everton FC 	0	1
9064	Charlton Athletic FC 	Blackburn Rovers FC 	1	0
9065	Arsenal FC 	Charlton Athletic FC 	4	0
9066	Blackburn Rovers FC 	Aston Villa FC 	2	2
9067	Everton FC 	Tottenham Hotspur FC 	0	1
9068	Norwich City FC 	Portsmouth FC 	2	2
9069	Southampton FC 	Manchester City FC 	0	0
9070	West Bromwich Albion FC 	Bolton Wanderers FC 	2	1
9071	Birmingham City FC 	Newcastle United FC 	2	2
9072	Chelsea FC 	Liverpool FC 	1	0
9073	Manchester United FC 	Middlesbrough FC 	1	1
9074	Crystal Palace FC 	Fulham FC 	2	0
9075	Arsenal FC 	Aston Villa FC 	3	1
9076	Birmingham City FC 	Manchester United FC 	0	0
9077	Blackburn Rovers FC 	Middlesbrough FC 	0	4
9078	Bolton Wanderers FC 	Crystal Palace FC 	1	0
9079	Everton FC 	Southampton FC 	1	0
9080	Fulham FC 	Liverpool FC 	2	4
9081	Manchester City FC 	Chelsea FC 	1	0
9082	West Bromwich Albion FC 	Norwich City FC 	0	0
9083	Charlton Athletic FC 	Newcastle United FC 	1	1
9084	Portsmouth FC 	Tottenham Hotspur FC 	1	0
9085	Aston Villa FC (	Fulham FC (	2	0
9086	Chelsea FC (	Blackburn Rovers FC (	4	0
9087	Crystal Palace FC (	West Bromwich Albion FC (	3	0
9088	Liverpool FC 	Charlton Athletic FC (	2	0
9089	Norwich City FC (	Everton FC (	2	3
9090	Tottenham Hotspur FC (	Bolton Wanderers FC (	1	2
9091	Manchester United FC (	Arsenal FC (	2	0
9092	Middlesbrough FC (	Portsmouth FC 	1	1
9093	Newcastle United FC (	Manchester City FC (	4	3
9094	Southampton FC (	Birmingham City FC (	0	0
9095	Arsenal FC (	Southampton FC (	2	2
9096	Birmingham City FC (	Crystal Palace FC (	0	1
9097	Blackburn Rovers FC (	Liverpool FC (	2	2
9098	Charlton Athletic FC (	Middlesbrough FC (	1	2
9099	Everton FC (	Aston Villa FC (	1	1
9100	Fulham FC (	Tottenham Hotspur FC (	2	0
9101	Portsmouth FC (	Manchester United FC (	2	0
9102	West Bromwich Albion FC (	Chelsea FC (	1	4
9103	Bolton Wanderers FC (	Newcastle United FC (	2	1
9104	Manchester City FC (	Norwich City FC (	1	1
9105	Aston Villa FC (	Portsmouth FC (	3	0
9106	Chelsea FC (	Everton FC (	1	0
9107	Crystal Palace FC (	Arsenal FC (	1	1
9108	Liverpool FC (	Birmingham City FC (	0	1
9109	Norwich City FC (	Blackburn Rovers FC (	1	1
9110	Southampton FC (	West Bromwich Albion FC (	2	2
9111	Tottenham Hotspur FC (	Charlton Athletic FC (	2	3
9112	Manchester United FC (	Manchester City FC (	0	0
9113	Middlesbrough FC (	Bolton Wanderers FC (	1	1
9114	Newcastle United FC (	Fulham FC (	1	4
9115	Birmingham City FC (	Everton FC (	0	1
9116	Bolton Wanderers FC (	Aston Villa FC (	1	2
9117	Charlton Athletic FC (	Norwich City FC (	4	0
9118	Fulham FC (	Chelsea FC (	1	4
9119	Liverpool FC (	Crystal Palace FC (	3	2
9120	Manchester City FC (	Blackburn Rovers FC (	1	1
9121	Southampton FC (	Portsmouth FC (	2	1
9122	Tottenham Hotspur FC (	Arsenal FC (	4	5
9123	Newcastle United FC (	Manchester United FC (	1	3
9124	West Bromwich Albion FC (	Middlesbrough FC (	1	2
9125	Arsenal FC (	West Bromwich Albion FC (	1	1
9126	Chelsea FC (	Bolton Wanderers FC (	2	2
9127	Crystal Palace FC (	Newcastle United FC (	0	2
9128	Everton FC (	Fulham FC (	1	0
9129	Manchester United FC (	Charlton Athletic FC (	2	0
9130	Middlesbrough FC (	Liverpool FC (	2	0
9131	Norwich City FC (	Southampton FC (	2	1
9132	Portsmouth FC (	Manchester City FC (	1	3
9133	Blackburn Rovers FC (	Birmingham City FC (	3	3
9134	Aston Villa FC (	Tottenham Hotspur FC (	1	0
9135	Birmingham City FC (	Norwich City FC (	1	1
9136	Bolton Wanderers FC (	Portsmouth FC (	0	1
9137	Charlton Athletic FC (	Chelsea FC (	0	4
9138	Fulham FC (	Blackburn Rovers FC (	0	2
9139	Manchester City FC (	Aston Villa FC (	2	0
9140	Southampton FC (	Crystal Palace FC (	2	2
9141	West Bromwich Albion FC (	Manchester United FC (	0	3
9142	Liverpool FC (	Arsenal FC (	2	1
9143	Newcastle United FC (	Everton FC (	1	1
9144	Tottenham Hotspur FC (	Middlesbrough FC (	2	0
9145	Arsenal FC (	Birmingham City FC (	3	0
9146	Aston Villa FC (	Liverpool FC (	1	1
9147	Blackburn Rovers FC (	Tottenham Hotspur FC (	0	1
9148	Chelsea FC (	Newcastle United FC (	4	0
9149	Everton FC (	Bolton Wanderers FC (	3	2
9150	Manchester United FC (	Southampton FC (	3	0
9151	Norwich City FC (	Fulham FC (	0	1
9152	Portsmouth FC (	West Bromwich Albion FC (	3	2
9153	Crystal Palace FC (	Charlton Athletic FC (	0	1
9154	Middlesbrough FC (	Manchester City FC (	3	2
9155	Crystal Palace FC (	Blackburn Rovers FC (	0	0
9156	Everton FC (	Liverpool FC (	1	0
9157	Manchester City FC (	Tottenham Hotspur FC (	0	1
9158	Newcastle United FC (	Portsmouth FC (	1	1
9159	Norwich City FC (	Bolton Wanderers FC (	3	2
9160	Southampton FC (	Middlesbrough FC (	2	2
9161	West Bromwich Albion FC (	Charlton Athletic FC (	0	1
9162	Arsenal FC (	Chelsea FC (	2	2
9163	Aston Villa FC (	Birmingham City FC (	1	2
9164	Fulham FC (	Manchester United FC (	1	1
9165	Liverpool FC (	Portsmouth FC (	1	1
9166	Birmingham City FC (	West Bromwich Albion FC (	4	0
9167	Blackburn Rovers FC (	Everton FC (	0	0
9168	Bolton Wanderers FC (	Manchester City FC (	0	1
9169	Chelsea FC (	Norwich City FC (	4	0
9170	Manchester United FC (	Crystal Palace FC (	5	2
9171	Middlesbrough FC (	Aston Villa FC (	3	0
9172	Tottenham Hotspur FC (	Southampton FC (	5	1
9173	Liverpool FC (	Newcastle United FC (	3	1
9174	Portsmouth FC (	Arsenal FC (	0	1
9175	Charlton Athletic FC (	Fulham FC (	2	1
9176	Arsenal FC (	Fulham FC (	2	0
9177	Birmingham City FC (	Middlesbrough FC (	2	0
9178	Blackburn Rovers FC (	Newcastle United FC (	2	2
9179	Chelsea FC (	Aston Villa FC (	1	0
9180	Crystal Palace FC (	Portsmouth FC (	0	1
9181	Everton FC (	Manchester City FC (	2	1
9182	Manchester United FC (	Bolton Wanderers FC (	2	0
9183	Norwich City FC (	Tottenham Hotspur FC (	0	2
9184	Southampton FC (	Charlton Athletic FC (	0	0
9185	West Bromwich Albion FC (	Liverpool FC (	0	5
9186	Aston Villa FC (	Manchester United FC (	0	1
9187	Bolton Wanderers FC (	Blackburn Rovers FC (	0	1
9188	Charlton Athletic FC (	Everton FC (	2	0
9189	Fulham FC (	Birmingham City FC (	2	3
9190	Liverpool FC (	Southampton FC (	1	0
9191	Manchester City FC (	West Bromwich Albion FC (	1	1
9192	Middlesbrough FC (	Norwich City FC (	2	0
9193	Portsmouth FC (	Chelsea FC (	0	2
9194	Tottenham Hotspur FC (	Crystal Palace FC (	1	1
9195	Newcastle United FC (	Arsenal FC (	0	1
9196	Aston Villa FC (	Blackburn Rovers FC (	1	0
9197	Bolton Wanderers FC (	West Bromwich Albion FC (	1	1
9198	Charlton Athletic FC (	Arsenal FC (	1	3
9199	Fulham FC (	Crystal Palace FC (	3	1
9200	Liverpool FC (	Chelsea FC (	0	1
9201	Manchester City FC (	Southampton FC (	2	1
9202	Middlesbrough FC (	Manchester United FC (	0	2
9203	Newcastle United FC (	Birmingham City FC (	2	1
9204	Portsmouth FC (	Norwich City FC (	1	1
9205	Tottenham Hotspur FC (	Everton FC (	5	2
9206	Blackburn Rovers FC (	Charlton Athletic FC (	1	0
9207	Crystal Palace FC (	Aston Villa FC (	2	0
